date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,0,,0.0,0,
2020-02-16,0,,0.0,0,
2020-02-17,0,,0.0,0,
2020-02-18,0,,0.0,0,
2020-02-19,2,,0.0,2,
2020-02-20,5,3.0,3.0,2,0.0
2020-02-21,18,13.0,14.0,4,2.0
2020-02-22,29,11.0,23.0,6,2.0
2020-02-23,43,14.0,34.0,8,2.0
2020-02-24,61,18.0,46.0,12,4.0
2020-02-25,95,34.0,54.0,16,4.0
2020-02-26,139,44.0,95.0,19,3.0
2020-02-27,245,106.0,165.0,26,7.0
2020-02-28,388,143.0,281.0,34,8.0
2020-02-29,593,205.0,427.0,43,9.0
2020-03-01,978,385.0,749.0,54,11.0
2020-03-02,1501,523.0,1144.0,66,12.0
2020-03-03,2336,835.0,1824.0,77,11.0
2020-03-04,2922,586.0,2278.0,92,15.0
2020-03-05,3513,591.0,2666.0,108,16.0
2020-03-06,4747,1234.0,3710.0,124,16.0
2020-03-07,5823,1076.0,4009.0,145,21.0
2020-03-08,6566,743.0,4238.0,194,49.0
2020-03-09,7161,595.0,4530.0,237,43.0
2020-03-10,8042,881.0,5020.0,291,54.0
2020-03-11,9000,958.0,5687.0,354,63.0
2020-03-12,10075,1075.0,6370.0,429,75.0
2020-03-13,11364,1289.0,7321.0,514,85.0
2020-03-14,12729,1365.0,7779.0,611,97.0
2020-03-15,13938,1209.0,8624.0,724,113.0
2020-03-16,14991,1053.0,9142.0,853,129.0
2020-03-17,16169,1178.0,9792.0,988,135.0
2020-03-18,17361,1192.0,10516.0,1135,147.0
2020-03-19,18407,1046.0,11144.0,1284,149.0
2020-03-20,19644,1237.0,11466.0,1433,149.0
2020-03-21,20610,966.0,11419.0,1556,123.0
2020-03-22,21638,1028.0,12040.0,1685,129.0
2020-03-23,23049,1411.0,12861.0,1812,127.0
2020-03-24,24811,1762.0,13964.0,1934,122.0
2020-03-25,27017,2206.0,15315.0,2077,143.0
2020-03-26,29406,2389.0,16715.0,2234,157.0
2020-03-27,32332,2926.0,18821.0,2378,144.0
2020-03-28,35408,3076.0,21212.0,2517,139.0
2020-03-29,38309,2901.0,23278.0,2640,123.0
2020-03-30,41495,3186.0,24827.0,2757,117.0
2020-03-31,44605,3110.0,27051.0,2898,141.0
2020-04-01,47593,2988.0,29084.0,3036,138.0
2020-04-02,50468,2875.0,30597.0,3160,124.0
2020-04-03,53183,2715.0,31954.0,3294,134.0
2020-04-04,55743,2560.0,32555.0,3452,158.0
2020-04-05,58226,2483.0,32612.0,3603,151.0
2020-04-06,60500,2274.0,32525.0,3739,136.0
2020-04-07,62589,2089.0,31678.0,3872,133.0
2020-04-08,64586,1997.0,30781.0,3993,121.0
2020-04-09,66220,1634.0,29801.0,4110,117.0
2020-04-10,68192,1972.0,28495.0,4232,122.0
2020-04-11,70029,1837.0,23725.0,4357,125.0
2020-04-12,71686,1657.0,23318.0,4474,117.0
2020-04-13,73303,1617.0,22735.0,4585,111.0
2020-04-14,74877,1574.0,22065.0,4683,98.0
2020-04-15,76389,1512.0,21679.0,4777,94.0
2020-04-16,77995,1606.0,20897.0,4869,92.0
2020-04-17,79494,1499.0,20472.0,4958,89.0
2020-04-18,80868,1374.0,19850.0,5031,73.0
2020-04-19,82211,1343.0,20070.0,5118,87.0
2020-04-20,83505,1294.0,19023.0,5209,91.0
2020-04-21,84802,1297.0,18540.0,5297,88.0
2020-04-22,85996,1194.0,17492.0,5391,94.0
2020-04-23,87026,1030.0,16702.0,5481,90.0
2020-04-24,88194,1168.0,16021.0,5574,93.0
2020-04-25,89328,1134.0,15485.0,5650,76.0
2020-04-26,90481,1153.0,15114.0,5710,60.0
2020-04-27,91472,991.0,14733.0,5806,96.0
2020-04-28,92584,1112.0,14268.0,5877,71.0
2020-04-29,93657,1073.0,13909.0,5957,80.0
2020-04-30,94640,983.0,13509.0,6028,71.0
2020-05-01,95646,1006.0,13237.0,6091,63.0
2020-05-02,96448,802.0,12942.0,6156,65.0
2020-05-03,97424,976.0,12799.0,6203,47.0
2020-05-04,98647,1223.0,12991.0,6277,74.0
2020-05-05,99970,1323.0,13155.0,6340,63.0
2020-05-06,101650,1680.0,13645.0,6418,78.0
2020-05-07,103135,1485.0,13905.0,6486,68.0
2020-05-08,104691,1556.0,14313.0,6541,55.0
2020-05-09,106220,1529.0,14567.0,6589,48.0
2020-05-10,107603,1383.0,14820.0,6640,51.0
2020-05-11,109286,1683.0,15179.0,6685,45.0
2020-05-12,110767,1481.0,15677.0,6733,48.0
2020-05-13,112725,1958.0,16514.0,6783,50.0
2020-05-14,114533,1808.0,17140.0,6854,71.0
2020-05-15,116635,2102.0,17897.0,6902,48.0
2020-05-16,118392,1757.0,18308.0,6937,35.0
2020-05-17,120198,1806.0,18746.0,6988,51.0
2020-05-18,122492,2294.0,19774.0,7057,69.0
2020-05-19,124603,2111.0,20311.0,7119,62.0
2020-05-20,126949,2346.0,20958.0,7183,64.0
2020-05-21,129341,2392.0,21528.0,7249,66.0
2020-05-22,131652,2311.0,22076.0,7300,51.0
2020-05-23,133521,1869.0,22090.0,7359,59.0
2020-05-24,135701,2180.0,22483.0,7417,58.0
2020-05-25,137724,2023.0,22560.0,7451,34.0
2020-05-26,139511,1787.0,22566.0,7508,57.0
2020-05-27,141591,2080.0,22851.0,7564,56.0
2020-05-28,143849,2258.0,23234.0,7627,63.0
2020-05-29,146668,2819.0,24060.0,7677,50.0
2020-05-30,148950,2282.0,24389.0,7734,57.0
2020-05-31,151466,2516.0,24821.0,7797,63.0
2020-06-01,154445,2979.0,25563.0,7878,81.0
2020-06-02,157562,3117.0,26543.0,7942,64.0
2020-06-03,160696,3134.0,29677.0,8012,70.0
